Alternatives
###########
0.944,0.98,0.982
0.916,0.989,1
0.924,0.991,0.986
0.934,0.993,0.968
0.894,0.985,1
0.907,0.985,0.983
0.928,0.974,0.973
0.957,0.949,0.962
0.893,0.975,1
0.941,0.936,0.989
0.923,0.978,0.963
0.901,0.993,0.967
0.884,0.993,0.978
0.91,0.962,0.98
0.884,0.968,1
0.928,0.971,0.948
0.901,0.974,0.969
0.901,0.98,0.959
0.923,0.965,0.945
0.916,0.993,0.923
0.903,0.957,0.966
0.951,0.879,0.996
0.904,0.954,0.962
0.925,0.947,0.918
0.887,0.988,0.908
0.878,0.969,0.922
0.865,0.892,1
0.911,0.843,1
0.873,0.864,1
0.901,0.909,0.927
0.891,0.818,1
0.84,0.89,0.975
0.882,0.927,0.891
0.838,0.857,1
0.853,0.938,0.9
0.904,0.88,0.898
0.865,0.94,0.862
0.802,0.96,0.868
0.839,0.952,0.833
0.891,0.918,0.812
0.824,0.928,0.865
0.771,0.964,0.877
0.795,0.968,0.844
0.788,0.961,0.841
0.842,0.915,0.828
0.834,0.946,0.799
0.851,0.955,0.772
0.882,0.976,0.706
0.797,0.878,0.886
0.893,0.882,0.767
0.847,0.879,0.801
0.81,0.894,0.817
0.838,0.787,0.892
0.783,0.886,0.837
0.791,0.815,0.901
0.798,0.93,0.773
0.74,0.861,0.898
0.838,0.887,0.771
0.795,0.832,0.863
0.77,0.896,0.824
0.807,0.886,0.786
0.786,0.914,0.776
0.815,0.848,0.806
0.82,0.891,0.756
0.813,0.891,0.76
0.806,0.896,0.761
0.73,0.958,0.764
0.816,0.879,0.73
0.856,0.886,0.68
0.783,0.888,0.75
0.689,0.966,0.766
0.83,0.877,0.713
0.669,0.933,0.815
0.793,0.836,0.778
0.827,0.874,0.704
0.776,0.824,0.792
0.818,0.848,0.725
0.778,0.845,0.765
0.766,0.885,0.711
0.792,0.875,0.694
0.75,0.886,0.723
0.712,0.956,0.689
0.78,0.903,0.649
0.759,0.804,0.769
0.8,0.92,0.602
0.724,0.884,0.714
0.789,0.83,0.694
0.851,0.762,0.701
0.747,0.848,0.715
0.786,0.88,0.641
0.78,0.837,0.686
0.772,0.817,0.71
0.763,0.909,0.616
0.795,0.849,0.642
0.811,0.766,0.708
0.768,0.905,0.608
0.704,0.881,0.688
0.775,0.864,0.617
0.71,0.884,0.653
0.783,0.743,0.719
0.776,0.798,0.668
0.772,0.887,0.576
0.725,0.868,0.637
0.781,0.834,0.611
0.814,0.769,0.625
0.802,0.884,0.506
0.522,0.838,0.827
0.63,0.907,0.647
0.752,0.834,0.591
0.68,0.939,0.555
0.668,0.885,0.615
0.688,0.913,0.561
0.727,0.9,0.53
0.816,0.81,0.528
0.43,0.787,0.935
0.766,0.731,0.651
0.745,0.8,0.596
0.771,0.787,0.558
0.698,0.89,0.515
0.789,0.774,0.533
0.75,0.709,0.628
0.678,0.919,0.484
0.743,0.723,0.592
0.691,0.896,0.464
0.418,0.84,0.753
0.399,0.783,0.809
0.762,0.563,0.612
0.669,0.805,0.456
0.448,0.808,0.647
0.492,0.769,0.596
0.669,0.553,0.616
0.652,0.638,0.537
0.645,0.682,0.498
0.637,0.676,0.461
0.604,0.787,0.363
0.561,0.7,0.465
0.659,0.649,0.408
0.616,0.563,0.521
0.665,0.492,0.528
0.643,0.537,0.491
0.253,0.731,0.643
0.574,0.605,0.421
0.564,0.671,0.363
0.462,0.69,0.445
0.634,0.571,0.384
0.547,0.539,0.49
0.641,0.524,0.408
0.584,0.578,0.402
0.534,0.518,0.496
0.416,0.622,0.504
0.487,0.554,0.497
0.443,0.661,0.404
0.627,0.417,0.462
0.36,0.648,0.487
0.289,0.753,0.445
0.424,0.692,0.365
0.285,0.535,0.633
0.586,0.545,0.317
0.55,0.543,0.345
0.567,0.439,0.408
0.514,0.44,0.423
0.366,0.679,0.325
0.27,0.664,0.425
0.536,0.514,0.275
0.346,0.607,0.351
0.378,0.45,0.466
0.505,0.361,0.403
0.478,0.3,0.394
0.454,0.39,0.325
0.424,0.293,0.449
0.351,0.541,0.257
0.399,0.546,0.201
0.445,0.274,0.398
0.521,0.286,0.302
0.291,0.474,0.334
0.335,0.555,0.202
0.351,0.559,0.172
0.317,0.419,0.32
0.285,0.396,0.307
